ID,credit.policy,purpose,int.rate,installment,annual_income,log.annual.inc,dti,fico,fico_category,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,int.rate.type
0,1,debt_consolidation,0.1189,829.1,85000.00038,11.35040654,19.48,737,Excellent,5639.958333,28854,52.1,0,0,0,0,Low
1,1,credit_card,0.1071,228.22,65000.00007,11.08214255,14.29,707,Excellent,2760,33623,76.7,0,0,0,0,Low
2,1,debt_consolidation,0.1357,366.86,31999.99994,10.37349118,11.63,682,Good,4710,3511,25.6,1,0,0,0,High
3,1,debt_consolidation,0.1008,162.34,85000.00038,11.35040654,8.1,712,Excellent,2699.958333,33667,73.2,1,0,0,0,Low
4,1,credit_card,0.1426,102.92,80799.99964,11.29973224,14.97,667,Good,4066,4740,39.5,0,1,0,0,High
5,1,credit_card,0.0788,125.13,147999.9996,11.90496755,16.98,727,Excellent,6120.041667,50807,51,0,0,0,0,Low
6,1,debt_consolidation,0.1496,194.02,45000.00006,10.71441777,4,667,Good,3180.041667,3839,76.8,0,0,1,1,High
7,1,all_other,0.1114,131.22,59999.99993,11.00209984,11.08,722,Excellent,5116,24220,68.6,0,0,0,1,Low
8,1,home_improvement,0.1134,87.19,90000.00006,11.40756495,17.25,682,Good,3989,69909,51.1,1,0,0,0,Low
9,1,debt_consolidation,0.1221,84.12,26999.99987,10.20359214,10,707,Excellent,2730.041667,5630,23,1,0,0,0,High
10,1,debt_consolidation,0.1347,360.43,33999.99988,10.4341158,22.09,677,Good,6713.041667,13846,71,2,0,1,0,High
11,1,debt_consolidation,0.1324,253.58,137999.9994,11.83500896,9.16,662,Good,4298,5122,18.2,2,1,0,0,High
12,1,debt_consolidation,0.0859,316.11,56000.00002,10.93310697,15.49,767,Excellent,6519.958333,6068,16.7,0,0,0,0,Low
13,1,small_business,0.0714,92.82,99999.9995,11.51292546,6.5,747,Excellent,4384,3021,4.8,0,1,0,0,Low
14,1,debt_consolidation,0.0863,209.54,13200.00001,9.487972109,9.73,727,Excellent,1559.958333,6282,44.6,0,0,0,0,Low
15,1,major_purchase,0.1103,327.53,46115.99998,10.73891524,13.04,702,Excellent,8159.958333,5394,53.4,1,0,0,0,Low
16,1,all_other,0.1317,77.69,37151.99983,10.52277288,2.26,672,Good,3895.958333,2211,88.4,0,0,0,0,High
17,1,credit_card,0.0894,476.58,109999.9995,11.60823564,7.07,797,Excellent,6510.958333,7586,52.7,1,0,0,0,Low
18,1,debt_consolidation,0.1039,584.12,36000.00009,10.49127422,3.8,712,Excellent,2760,8311,59.8,0,0,0,0,Low
19,1,major_purchase,0.1513,173.65,59999.99993,11.00209984,2.74,667,Good,1126.958333,591,84.4,3,0,0,0,High
20,1,all_other,0.08,188.02,74999.99981,11.22524339,16.08,772,Excellent,4888.958333,29797,23.2,1,0,0,0,Low
21,1,all_other,0.0863,474.42,49999.99978,10.81977828,2.59,797,Excellent,11951,5656,27.6,0,0,0,0,Low
22,1,credit_card,0.1355,339.6,99999.9995,11.51292546,7.94,662,Good,1939.958333,21162,57.7,0,0,0,0,High
23,1,credit_card,0.0788,484.85,125000.0005,11.73606902,7.05,782,Excellent,5640.041667,16931,34.6,1,0,0,0,Low
24,1,debt_consolidation,0.1229,320.19,78000.00034,11.26446411,8.8,672,Good,3760.958333,4822,58.1,0,0,1,0,High
25,1,all_other,0.0901,159.03,250000.0008,12.4292162,10,712,Excellent,1553.958333,14354,36.6,0,2,0,0,Low
26,1,all_other,0.0743,155.38,65000.00007,11.08214255,0.28,802,Excellent,4649.958333,1576,5.7,1,0,0,0,Low
27,1,debt_consolidation,0.1375,255.43,21999.99999,9.998797732,14.29,662,Good,1318.958333,4175,51.5,0,1,0,0,High
28,1,all_other,0.0743,155.38,200000.0009,12.20607265,0.28,772,Excellent,4516.958333,3164,13.7,0,0,0,0,Low
29,1,all_other,0.0743,155.38,200000.0009,12.20607265,3.72,812,Excellent,6778.958333,85607,0.7,0,0,0,0,Low
30,1,debt_consolidation,0.0807,156.84,99999.9995,11.51292546,2.3,742,Excellent,3148.958333,9698,19.4,0,0,0,0,Low
31,1,credit_card,0.1028,275.38,18000,9.798127037,6.4,692,Good,7469.958333,8847,26.9,1,1,0,0,Low
32,1,home_improvement,0.0743,155.38,149999.9995,11.91839057,0,777,Excellent,7128.958333,6053,19.5,0,0,0,0,Low
33,1,home_improvement,0.0807,78.42,109999.9995,11.60823564,11.33,762,Excellent,6059.958333,7274,13.1,0,0,0,0,Low
34,1,credit_card,0.087,158.3,74999.99981,11.22524339,15.55,757,Excellent,4770,66033,23,0,0,0,0,Low
35,1,all_other,0.0743,155.38,94999.99994,11.46163217,3.83,772,Excellent,2535,3660,6.8,0,0,0,0,Low
36,1,credit_card,0.0743,155.38,85000.00038,11.35040654,0.31,787,Excellent,3540,216,0.6,0,0,0,0,Low
37,1,credit_card,0.1122,164.23,79999.99971,11.28978191,1.21,672,Good,3990,27185,16.1,3,0,1,0,Low
38,1,debt_consolidation,0.0996,161.25,48000.00001,10.77895629,8.03,707,Excellent,4320,28329,48.6,1,0,0,0,Low
39,1,home_improvement,0.0933,159.77,180000,12.10071213,11.93,717,Excellent,4498.958333,60568,39.2,1,0,0,0,Low
40,1,home_improvement,0.0807,156.84,180000,12.10071213,5.55,742,Excellent,4019,40934,26.3,0,0,0,0,Low
41,1,debt_consolidation,0.0743,155.38,119999.9998,11.69524702,2.29,777,Excellent,3540,8379,16.9,0,0,0,0,Low
42,1,small_business,0.087,94.98,24999.9999,10.1266311,14.54,752,Excellent,2460,3660,7.8,1,0,0,0,Low
43,1,home_improvement,0.1028,97.2,200000.0009,12.20607265,0,677,Good,3779.958333,0,0,0,1,0,0,Low
44,1,credit_card,0.1122,164.23,29999.99998,10.30895266,18.64,702,Excellent,5190,15840,47.1,0,0,0,0,Low
45,1,credit_card,0.0838,167.02,73999.99984,11.21182037,14.37,797,Excellent,5610.958333,6844,14.4,0,0,0,0,Low
46,1,educational,0.0775,168.6,8000.000003,8.987196821,3,762,Excellent,6659.958333,1321,16.5,0,0,0,0,Low
47,1,all_other,0.0838,160.72,31999.99994,10.37349118,14.78,772,Excellent,4379,4737,23.9,0,0,0,0,Low
48,1,credit_card,0.0901,159.03,72999.99999,11.19821472,9.96,722,Excellent,3089.958333,23489,37.6,0,0,0,0,Low
49,1,debt_consolidation,0.0743,178.69,125000.0005,11.73606902,0.27,792,Excellent,7488.958333,2817,10.2,0,0,0,0,Low
50,1,credit_card,0.0743,155.38,45000.00006,10.71441777,1.12,782,Excellent,5807,1783,0,1,0,0,0,Low
51,1,small_business,0.1028,323.98,27376.00011,10.217422,10.7,712,Excellent,1379,3534,54.4,0,0,0,0,Low
52,1,small_business,0.1059,813.65,48000.00001,10.77895629,4.05,762,Excellent,2729.958333,2422,23.3,0,0,0,0,Low
53,1,educational,0.0996,112.87,13499.99999,9.510444964,16.44,712,Excellent,1649.958333,2864,41.1,1,0,0,0,Low
54,1,debt_consolidation,0.1596,94.88,52199.9998,10.86283777,12.57,627,Fair,1409,3075,92.3,1,0,0,0,High
55,1,small_business,0.1059,398.69,59999.99993,11.00209984,17.12,747,Excellent,14008.95833,17214,8.1,2,1,0,0,Low
56,1,credit_card,0.1154,39.6,20000.00001,9.903487553,2.04,662,Good,1139,1153,75.8,2,0,0,0,Low
57,1,credit_card,0.1343,678.08,144999.9998,11.88448902,10.15,682,Good,4209.958333,41674,74.1,0,0,0,1,High
58,1,credit_card,0.1249,401.37,74999.99981,11.22524339,15,682,Good,4479,43039,93.4,3,0,0,0,High
59,1,all_other,0.0964,205.45,59999.99993,11.00209984,7.72,712,Excellent,2293.958333,3362,69.3,0,0,0,0,Low
60,1,debt_consolidation,0.1186,397.75,65000.00007,11.08214255,7.14,682,Good,8730,11868,71.9,0,2,0,0,Low
61,1,all_other,0.0743,155.38,39999.99988,10.59663473,2.55,772,Excellent,8189.958333,2562,14,2,0,0,0,Low
62,1,all_other,0.1028,113.39,20000.00001,9.903487553,1.5,682,Good,1410,1882,32.4,0,0,0,0,Low
63,1,debt_consolidation,0.1186,99.44,36152.99994,10.49551521,7.47,667,Good,2550,1064,70.9,2,0,1,0,Low
64,1,credit_card,0.0807,109.79,98000.00023,11.49272276,8.52,752,Excellent,4979.958333,6432,6,0,1,0,0,Low
65,1,all_other,0.1059,32.55,33989.99991,10.43382164,14.47,687,Good,1110,4485,36.9,1,0,0,1,Low
66,1,all_other,0.0996,112.87,78000.00034,11.26446411,11.06,702,Excellent,4979.958333,16310,20.5,0,1,0,0,Low
67,1,debt_consolidation,0.0964,160.51,130000.0001,11.77528973,8.55,712,Excellent,5940,20969,40.2,0,0,0,0,Low
68,1,debt_consolidation,0.1375,340.57,34999.99998,10.46310334,17.38,707,Excellent,2699.958333,22213,65.9,0,0,0,0,High
69,1,home_improvement,0.0775,156.11,224999.9997,12.32385568,6.48,752,Excellent,5339.958333,2160,2.3,1,0,0,0,Low
70,1,credit_card,0.0743,155.38,69999.99993,11.15625052,4.56,812,Excellent,9809,813,1,0,0,0,0,Low
71,1,home_improvement,0.0807,235.25,149999.9995,11.91839057,2.72,757,Excellent,5202,23678,24.4,4,0,0,0,Low
